@relation contact-lenses-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.instance.StratifiedRemoveFolds-S1155476368-V-N4-F1

@attribute age {young,pre-presbyopic,presbyopic}
@attribute spectacle-prescrip {myope,hypermetrope}
@attribute astigmatism {no,yes}
@attribute tear-prod-rate {reduced,normal}
@attribute contact-lenses {none,soft,hard}

@data

pre-presbyopic,myope,no,normal,soft
young,hypermetrope,yes,reduced,none
presbyopic,myope,no,normal,none
presbyopic,hypermetrope,yes,normal,none
young,hypermetrope,no,reduced,none
presbyopic,myope,yes,normal,hard
young,myope,no,normal,soft
pre-presbyopic,myope,yes,reduced,none
young,myope,no,reduced,none
young,myope,yes,reduced,none
pre-presbyopic,hypermetrope,no,reduced,none
young,hypermetrope,yes,normal,hard
young,hypermetrope,no,normal,soft
presbyopic,myope,no,reduced,none
presbyopic,myope,yes,reduced,none
presbyopic,hypermetrope,no,reduced,none
presbyopic,hypermetrope,yes,reduced,none
young,myope,yes,normal,hard
